Date,Source,Time,Titles,gists,link,labels
2020-09-08,Republic TV,10:49:37.644898,"['Delhi BJP Stages Protest, Says AAP Govt Should Release Funds Of Municipal Corporations']","['Delhi BJP leaders , including councillors and functionaries of the three party-led municipal corporations here , took out a protest march on Monday , demanding that the AAP government release funds to the civic bodies .', 'Some municipal corporation employees staging a protest over pending salaries at the Civic Centre raised slogans as Delhi BJP president Adesh Gupta tried to address them .', 'The Civic Centre is the headquarter of the North and the South Delhi Municipal Corporations .']",https://www.republicworld.com/india-news/politics/delhi-bjp-stages-protest-says-aap-govt-should-release-funds-of-municipal-corporations.html,['Delhi BJP Stages Protest']
2020-09-08,Republic TV,10:49:38.045704,['6 Workers Fall Sick After Gas Leak From Factory In Maharashtra'],"['Formaldehyde is a colorless , strong-smelling gas used in making building materials and many household products .', 'The leakage happened around 7:20 am before operations started in the factory , but the gas spreadto nearby industrial units affecting workers there , he said .', 'Workers in the adjoining units complained of irritation in the eyes , nausea , itchingand difficulty in breathing among other complications , he said .']",https://www.republicworld.com/india-news/politics/6-workers-fall-sick-after-gas-leak-from-factory-in-maharashtra.html,['6']
2020-09-08,IndiaToday,10:49:38.578661,"[' India-China LIVE: Heavy Army mobilisation after firing, Chinese provocation in Ladakh']","[' India-China LIVE: Heavy Army mobilisation after firing, Chinese provocation in Ladakh']",https://www.indiatoday.in/india/story/india-china-ladakh-live-updates-border-clash-news-pangong-tso-firing-chinese-soldiers-1719633-2020-09-08,"['India', 'China', 'Chinese', 'Ladakh']"
2020-09-08,IndiaToday,10:49:38.955496,"['    India-China LIVE: Heavy Army mobilisation after firing, Chinese provocation in Ladakh']","['    India-China LIVE: Heavy Army mobilisation after firing, Chinese provocation in Ladakh']",https://www.indiatoday.in/india/story/india-china-ladakh-live-updates-border-clash-news-pangong-tso-firing-chinese-soldiers-1719633-2020-09-08,"['India', 'China', 'Chinese', 'Ladakh']"
2020-09-08,IndiaToday,10:49:40.197687,"['    UP: Man beaten to death over rumours that he sold his daughter, assault caught on camera']","['A man succumbed to his injuries at a hospital after he was beaten by five men on Sunday ( September 6 ) evening in Mainpuri district of Uttar Pradesh over rumours that he had sold his 11-year-old daughter .', 'The latest incident is the second in two days in Uttar Pradesh .', 'On Monday , a man was lynched by villagers in Kushinagar area after he killed a local inside his house .']",https://www.indiatoday.in/crime/story/uttar-pradesh-man-beaten-death-rumours-sold-daughter-assault-camera-mainpuri-1719674-2020-09-08,[]
2020-09-08,IndiaToday,10:49:40.429891,['    Sushant Singh Rajput case LIVE updates: NCB summons Rhea 3rd time'],['    Sushant Singh Rajput case LIVE updates: NCB summons Rhea 3rd time'],https://www.indiatoday.in/movies/story/sushant-singh-rajput-death-case-live-updates-ncb-summons-rhea-chakraborty-a-third-time-1719652-2020-09-08,"['Sushant Singh Rajput', 'NCB', 'Rhea 3rd']"
2020-09-08,IndiaToday,10:49:40.867153,"[' Coronavirus LIVE: India reports daily rise of over 75,000 cases, 1,133 deaths']","[' Coronavirus LIVE: India reports daily rise of over 75,000 cases, 1,133 deaths']",https://www.indiatoday.in/india/story/coronavirus-vaccine-news-updates-covid19-cases-death-toll-india-unlock-4-metro-services-vaccine-sputnik-v-who-1719639-2020-09-08,"['India', 'over 75,000', '1,133']"
2020-09-08,IndiaToday,10:49:41.165908,"['\ndocument.addEventListener(""DOMContentLoaded"", function(event) {\njQuery(""li"").removeClass(""itg-top-story-ad"");\njQuery(""#block-itg-widget-top-stories-ordering li"").removeClass(""desktop-hide"");\n});\n\nPUBG banned in India: Pay your tributes to the game']","['\ndocument.addEventListener(""DOMContentLoaded"", function(event) {\njQuery(""li"").removeClass(""itg-top-story-ad"");\njQuery(""#block-itg-widget-top-stories-ordering li"").removeClass(""desktop-hide"");\n});\n\nPUBG banned in India: Pay your tributes to the game']",https://www.indiatoday.in/tribute-to-pubg-mobile,['India']
2020-09-08,IndiaToday,10:49:41.448358,[' Killer whale that carried her dead calf for 17 days gives birth again '],"['An endangered killer whale named Tahlequah , who famously carried her dead calf on her head in mourning for 17 days through the Salish Sea off British Columbia in 2018 , is a new mother .', 'Tahlequah , known to scientists as J35 , gave birth likely on Friday after it was spotted in the Haro Strait , northwest of Seattle , earlier in the week , the Center for Whale Research in the state of Washington said in a statement .', '“ Hooray !']",https://www.indiatoday.in/trending-news/story/killer-whale-that-carried-her-dead-calf-for-17-days-gives-birth-again-1719647-2020-09-08,['Killer']
2020-09-08,IndiaToday,10:49:41.735060,"["" Crime Branch raids Sanjjanaa Galrani's Bengaluru residence""]","[""The Central Crime Branch ( CCB ) officers conducted a raid at actress Sanjjanaa Galrani 's residence in Indiranagar in connection with the Sandalwood drug racket case ."", ""Reportedly , eight police officers including a woman inspector knocked on the doors of Sanjjanaa 's house in East Bengaluru ."", 'The CCB obtained a search warrant from the court recently .']",https://www.indiatoday.in/movies/regional-cinema/story/sandalwood-drug-racket-case-crime-branch-raids-sanjjanaa-galrani-s-bengaluru-residence-1719653-2020-09-08,"[""Sanjjanaa Galrani's"", 'Bengaluru']"
2020-09-08,IndiaToday,10:49:42.047883,[' Novak Djokovic backs US Open lineswoman after backlash from furious fans'],"['World No .', ""1 Novak Djokovic on Tuesday took to social media to urge his fans who have turned on the US Open lineswoman who was hit by the ball that led to the Serb star 's default in the 4th round ."", ""Djokovic said the lineswoman in question did nothing wrong and she needs the tennis community 's support amid the backlash .""]",https://www.indiatoday.in/sports/tennis/story/us-open-2020-novak-djokovic-message-fans-angry-lineswoman-abuse-instagram-account-1719657-2020-09-08,"['Djokovic', 'US']"
2020-09-08,IndiaToday,10:49:42.386911,"["" IPL 2020: Virat Kohli vs AB de Villiers in RCB's intra-squad football match""]","['Cricketers , often , take to football in their warm-up sessions .', ""Royal Challegers Bangalore ( RCB ) unit is no exception to it as Virat Kohli 's men played an intra-squad football match when the members met for a training session involving the entire squad in Dubai in the lead up Indian Premier League ( IPL ) 2020 ."", 'Under the watchful eyes of former India strength and conditioning coach , Shanker Basu , the RCB players enjoyed a session of football .']",https://www.indiatoday.in/sports/cricket/story/ipl-2020-rcb-virat-kohli-hot-dogs-vs-ab-de-villiers-cool-cats-football-match-video-1719665-2020-09-08,"['Virat Kohli', 'AB de Villiers', 'RCB']"
2020-09-08,IndiaToday,10:49:42.770538,"[' IMPACT FEATURE Religion, caste, politics- MX Player’s Aashram is a social commentary that should not be missed']","['With big movies and series now releasing on these platforms , one just can not have enough .', 'With Bobby Deol , Chandan Roy Sanyal , and Darshan Kumar being prominent names in the star cast , supported by Aaditi Pohankar , Anupriya Goenka , Adhyayan Suman , Sachin Shroff , and Tridha Choudhury , this series is trademark Prakash Jha .', 'You enter an ashram that not only takes advantage of young women who had entered it immersed in their bhakti , little knowing that they would never be allowed out again , you also see how it is a hub of illegal activities that include drug smuggling , all carefully hidden behind a façade of respectability and piousness .']",https://www.indiatoday.in/impact-feature/story/religion-caste-politics-mx-player-s-aashram-is-a-social-commentary-that-should-not-be-missed-1716238-2020-08-28,[]
